,Unnamed: 0,title,link,NBER_ID,authors,authors_links,date,abstract,a_d,links,doi,topics,programs,id
5410,70,Rise of Bank Competition: Evidence from Banking Deregulation in China,/papers/w25795,25795,"['Haoyu Gao', 'Hong Ru', 'Robert Townsend', 'Xiaoguang Yang']","['/people/haoyu_gao', '/people/hong_ru', '/people/robert_townsend', '/people/xiaoguang_yang']",May 2019,,,,,,,
7423,91,Does Multispecialty Practice Enhance Physician Market Power?,/papers/w23871,23871,"['Laurence C. Baker', 'M. Kate Bundorf', 'Daniel P. Kessler']","['/people/laurence_baker', '/people/kate_bundorf', '/people/daniel_kessler']",October 2017,,,,,,,
7424,6,Does Multispecialty Practice Enhance Physician Market Power?,/papers/w23871,23871,"['Laurence C. Baker', 'M. Kate Bundorf', 'Daniel P. Kessler']","['/people/laurence_baker', '/people/kate_bundorf', '/people/daniel_kessler']",October 2017,,,,,,,
7425,92,"Civil Asset Forfeiture, Crime, and Police Incentives: Evidence from the Comprehensive Crime Control Act of 1984",/papers/w23873,23873,"['Shawn Kantor', 'Carl Kitchens', 'Steven Pawlowski']","['/people/shawn_kantor', '/people/carl_kitchens', '/people/steven_pawlowski']",October 2017,,,,,,,
7426,7,"Civil Asset Forfeiture, Crime, and Police Incentives: Evidence from the Comprehensive Crime Control Act of 1984",/papers/w23873,23873,"['Shawn Kantor', 'Carl Kitchens', 'Steven Pawlowski']","['/people/shawn_kantor', '/people/carl_kitchens', '/people/steven_pawlowski']",October 2017,,,,,,,
7427,93,Older and Slower: The Startup Deficit’s Lasting Effects on Aggregate Productivity Growth,/papers/w23875,23875,"['Titan Alon', 'David Berger', 'Robert Dent', 'Benjamin Pugsley']","['/people/titan_alon', '/people/david_berger', '/people/robcdent', '/people/benjamin_pugsley']",October 2017,,,,,,,
7428,8,Older and Slower: The Startup Deficit’s Lasting Effects on Aggregate Productivity Growth,/papers/w23875,23875,"['Titan Alon', 'David Berger', 'Robert Dent', 'Benjamin Pugsley']","['/people/titan_alon', '/people/david_berger', '/people/robcdent', '/people/benjamin_pugsley']",October 2017,,,,,,,
7429,94,Selection in Health Insurance Markets and Its Policy Remedies,/papers/w23876,23876,"['Michael Geruso', 'Timothy Layton']","['/people/michael_geruso', '/people/timothy_layton']",October 2017,,,,,,,
7430,9,Selection in Health Insurance Markets and Its Policy Remedies,/papers/w23876,23876,"['Michael Geruso', 'Timothy Layton']","['/people/michael_geruso', '/people/timothy_layton']",October 2017,,,,,,,
7431,95,Cognitive and Noncognitive Skills and the Selection and Sorting of Migrants,/papers/w23877,23877,"['Aline Bütikofer', 'Giovanni Peri']","['/people/butikofer_aline', '/people/giovanni_peri']",October 2017,,,,,,,
